budget,log_budget,popularity,log_popularity,vote_average,vote_count,log_vote_count,runtime,release_year,release_month,release_quarter,release_dow,genre_count,prod_company_count,cast_size,star_power_count,season_winter,season_spring,season_summer,season_fall,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music,pc_Warner_Bros.,pc_Universal_Pictures,pc_Paramount_Pictures,pc_Twentieth_Century_Fox_Film_Corporation,pc_Columbia_Pictures,pc_New_Line_Cinema,pc_Metro-Goldwyn-Mayer_(MGM),pc_Touchstone_Pictures,pc_Walt_Disney_Pictures,pc_Relativity_Media
175000000.0,18.980296537602072,94.199316,4.5559727568975585,6.7,2892.0,7.970049304976135,106.0,2016.0,4.0,2.0,3.0,4,4,30,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200000000.0,19.11382792951231,77.300194,4.360550080643752,6.6,6849.0,8.83200393125627,124.0,2010.0,4.0,2.0,2.0,3,1,115,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170000000.0,18.951309000896888,77.178973,4.359000723926518,5.8,3118.0,8.045267716607803,127.0,2012.0,5.0,2.0,2.0,3,2,36,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
180000000.0,19.00846741441004,110.620647,4.715106041795737,7.0,4496.0,8.411165786770708,97.0,2014.0,5.0,2.0,2.0,5,3,82,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170000000.0,18.951309000896888,143.34728766999996,4.97222211597744,7.3,4410.0,8.39185670010494,130.0,2014.0,6.0,2.0,3.0,4,3,33,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27000000.0,17.11134746100564,2.418535,1.2292120967279583,4.8,34.0,3.5553480614894135,109.0,2015.0,2.0,1.0,4.0,4,7,19,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175000000.0,18.980296537602072,41.796339,3.756452561546043,5.9,1326.0,7.190676034332207,119.0,2013.0,12.0,4.0,4.0,4,5,24,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170000000.0,18.951309000896888,72.225265,4.293540511689836,7.6,5764.0,8.65956043270316,136.0,2014.0,3.0,1.0,3.0,3,1,70,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165000000.0,18.92145603792546,44.041186,3.8075773156339507,6.0,1959.0,7.580699752224563,93.0,2010.0,5.0,2.0,6.0,5,1,35,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190000000.0,19.06253463538792,130.311355,4.877571258909897,6.2,2846.0,7.954021087278037,130.0,2015.0,5.0,2.0,1.0,4,3,52,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
165000000.0,18.92145603792546,143.34728766999996,4.97222211597744,7.8,6135.0,8.721928343047091,102.0,2014.0,10.0,4.0,4.0,5,2,46,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
